4d19eaad-3680-4158-abd0-41c6685fc740-monthly-report-2024-06-en
Transaction Date,MEMO,Credit,Debit,,
2024-06-01,Cash back,12.65,0.00,,
2024-06-03,e-Transfer from: joel,140.00,0.00,,
2024-06-03,Sherwin Williams 76882,0.00,125.30,,
2024-06-04,Mailchimp *Misc,0.00,31.60,,
2024-06-04,e-Transfer from: JOEL PALK-RICARD,75.00,0.00,,
2024-06-04,Sherwin Williams 76882,0.00,62.65,,
2024-06-04,Ultramar #12651,0.00,10.41,,
2024-06-06,e-Transfer from: JOEL PALK-RICARD,146.27,0.00,,
2024-06-06,Sherwin-Williams768734,0.00,57.50,,
2024-06-06,Sherwin-Williams768734,0.00,57.50,,
2024-06-07,e-Transfer from: JOEL PALK-RICARD,1333.00,0.00,,
2024-06-07,Sherwin-Williams768734,0.00,91.91,,
2024-06-07,e-Transfer to: ECFC RBC,0.00,800.00,,
2024-06-07,Sherwin-Williams768734,0.00,67.03,,
2024-06-07,Cnb,0.00,85.00,,
2024-06-07,Memramcook Irving,0.00,21.31,,
2024-06-08,Cover Fee,0.00,20.00,,
2024-06-10,Sherwin-Williams768734,0.00,130.72,,
2024-06-10,Cash back,3.55,0.00,,
2024-06-10,Sherwin-Williams768829,0.00,134.14,,
2024-06-10,Draftkings Inc,0.00,34.53,,
2024-06-11,e-Transfer from: JOEL PALK-RICARD,180.00,0.00,,
2024-06-11,Coop De Dieppe,0.00,85.09,,
2024-06-11,Coop De Dieppe,0.00,33.81,,
2024-06-12,e-Transfer from: joel,99.00,0.00,,
2024-06-12,Sherwin-Williams768829,0.00,137.98,,
2024-06-12,Cash back,1.49,0.00,,
2024-06-12,Mcdonald's,0.00,33.33,,
2024-06-13,e-Transfer from: joel,135.49,0.00,,
2024-06-13,Sherwin-Williams768829,0.00,144.10,,
2024-06-13,e-Transfer from: joel,67.37,0.00,,
2024-06-13,Ic* Instacart,0.00,57.63,,
2024-06-13,e-Transfer from: joel,67.37,0.00,,
2024-06-13,Cnb Online,50.00,0.00,,Settled
2024-06-13,Cnb Online,0.00,50.00,,
2024-06-13,Ic* Instacart,4.87,0.00,,Settled
2024-06-14,Microsoft*Ultimate 1 M,0.00,21.84,,
2024-06-14,Ic* Instacart,0.00,4.87,,Reimbursed
2024-06-15,"Messari, Inc.",1.38,0.00,,Settled
2024-06-16,Cash back,5.97,0.00,,
2024-06-16,e-Transfer from: JOEL PALK-RICARD,28.51,0.00,,
2024-06-16,Godaddy.Com,0.00,17.24,,
2024-06-16,Microsoft*Xbox,0.00,19.54,,
2024-06-16,Microsoft*Xbox,0.00,2.86,,
2024-06-17,e-Transfer from: joel,86.00,0.00,,
2024-06-17,e-Transfer from: JOEL PALK-RICARD,300.00,0.00,,
2024-06-17,Sherwin-Williams768829,0.00,121.90,,
2024-06-17,Sherwin-Williams768829,0.00,149.55,,
2024-06-18,"Messari, Inc.",0.00,1.38,,Reimbursed
2024-06-18,Facebk *Wvfny5c2v2,0.00,31.36,,
2024-06-19,Sherwin-Williams768734,0.00,73.42,,
2024-06-20,e-Transfer from: JOEL PALK-RICARD,100.00,0.00,,
2024-06-20,KOHO Everything Plan,0.00,19.00,,
2024-06-20,Sherwin-Williams768734,0.00,16.08,,
2024-06-21,Cnb Online,0.00,50.00,,Reimbursed
2024-06-21,Smartycashback.com Oav,0.00,19.00,,
2024-06-23,Inmatephones.ca,0.00,28.25,,
2024-06-23,Cash back,2.27,0.00,,
2024-06-23,Inmatephones.ca,0.00,28.25,,
